1k1 TN1: Success: 0.499, Failure: 0.501, Opportunity: 0.07, Extra Success: 0.10, Strife: 0.60
7k4 TN2: Success: 0.965, Failure: 0.035, Opportunity: 1.50, Extra Success: 0.83, Strife: 1.65
7k4 TN3: Success: 0.870, Failure: 0.130, Opportunity: 1.48, Extra Success: 0.79, Strife: 2.15
7k4 TN4: Success: 0.694, Failure: 0.306, Opportunity: 0.70, Extra Success: 0.59, Strife: 2.40
8k4 TN1: Success: 0.998, Failure: 0.002, Opportunity: 2.18, Extra Success: 1.10, Strife: 1.23
8k4 TN2: Success: 0.984, Failure: 0.016, Opportunity: 1.61, Extra Success: 0.93, Strife: 1.58
8k4 TN3: Success: 0.928, Failure: 0.072, Opportunity: 1.69, Extra Success: 0.91, Strife: 2.07
8k4 TN4: Success: 0.807, Failure: 0.193, Opportunity: 0.85, Extra Success: 0.75, Strife: 2.40
9k4 TN1: Success: 0.999, Failure: 0.001, Opportunity: 2.26, Extra Success: 1.13, Strife: 1.09
9k4 TN2: Success: 0.992, Failure: 0.008, Opportunity: 1.69, Extra Success: 1.05, Strife: 1.53
9k4 TN3: Success: 0.962, Failure: 0.038, Opportunity: 1.84, Extra Success: 1.04, Strife: 2.03
9k4 TN4: Success: 0.882, Failure: 0.119, Opportunity: 0.99, Extra Success: 0.91, Strife: 2.40
5k5 TN1: Success: 0.968, Failure: 0.032, Opportunity: 1.65, Extra Success: 1.01, Strife: 2.10
5k5 TN2: Success: 0.838, Failure: 0.162, Opportunity: 1.44, Extra Success: 0.92, Strife: 2.70
5k5 TN3: Success: 0.602, Failure: 0.398, Opportunity: 0.84, Extra Success: 0.46, Strife: 2.78
5k5 TN4: Success: 0.342, Failure: 0.658, Opportunity: 0.49, Extra Success: 0.25, Strife: 3.00
6k5 TN1: Success: 0.987, Failure: 0.013, Opportunity: 1.89, Extra Success: 1.00, Strife: 1.85
6k5 TN2: Success: 0.917, Failure: 0.083, Opportunity: 1.84, Extra Success: 1.02, Strife: 2.52
6k5 TN3: Success: 0.753, Failure: 0.247, Opportunity: 1.18, Extra Success: 0.61, Strife: 2.63
6k5 TN4: Success: 0.520, Failure: 0.480, Opportunity: 0.87, Extra Success: 0.43, Strife: 3.03
7k5 TN1: Success: 0.995, Failure: 0.005, Opportunity: 2.05, Extra Success: 0.99, Strife: 1.61
7k5 TN2: Success: 0.960, Failure: 0.040, Opportunity: 2.13, Extra Success: 1.08, Strife: 2.30
7k5 TN3: Success: 0.856, Failure: 0.144, Opportunity: 1.44, Extra Success: 0.75, Strife: 2.44
7k5 TN4: Success: 0.673, Failure: 0.327, Opportunity: 1.22, Extra Success: 0.62, Strife: 2.92
8k5 TN1: Success: 0.998, Failure: 0.002, Opportunity: 2.17, Extra Success: 1.01, Strife: 1.42
8k5 TN2: Success: 0.981, Failure: 0.019, Opportunity: 2.34, Extra Success: 1.13, Strife: 2.12
8k5 TN3: Success: 0.921, Failure: 0.079, Opportunity: 1.64, Extra Success: 0.88, Strife: 2.31
8k5 TN4: Success: 0.791, Failure: 0.209, Opportunity: 1.51, Extra Success: 0.78, Strife: 2.78
9k5 TN1: Success: 0.999, Failure: 0.001, Opportunity: 2.25, Extra Success: 1.04, Strife: 1.25
9k5 TN2: Success: 0.990, Failure: 0.010, Opportunity: 2.50, Extra Success: 1.20, Strife: 1.98
9k5 TN3: Success: 0.955, Failure: 0.045, Opportunity: 1.78, Extra Success: 1.00, Strife: 2.21
9k5 TN4: Success: 0.873, Failure: 0.127, Opportunity: 1.75, Extra Success: 0.94, Strife: 2.70
10k5 TN1: Success: 1.000, Failure: 0.000, Opportunity: 2.31, Extra Success: 1.09, Strife: 1.12
10k5 TN2: Success: 0.995, Failure: 0.005, Opportunity: 2.61, Extra Success: 1.27, Strife: 1.87
10k5 TN3: Success: 0.978, Failure: 0.022, Opportunity: 1.91, Extra Success: 1.13, Strife: 2.17
10k5 TN4: Success: 0.926, Failure: 0.074, Opportunity: 1.95, Extra Success: 1.09, Strife: 2.64
